Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.21,0.43,0.43,0.64,0.64,0.64,0.79,0.79,0.79,1.07,1.07,1.43,1.79,1.79,1.79,2.71,2.71,3.14,4.0,4.5,5.43,5.86,7.93,10.71,11.93,13.29,17.5,19.29,23.64,25.43,28.5,33.43,37.07,40.64,45.0,52.07,57.43,59.0,62.57,63.5,62.5,64.21,63.86,63.07,64.07,60.86,58.14,56.79,54.5,49.71,44.43,42.93,39.93,39.07,37.86,37.14,36.64,37.21,36.71,37.21,38.14,39.14,41.43,43.5,46.86,49.07,57.5,62.43,65.07,69.71,70.86,76.79,80.43,88.86,95.86,100.21,104.14,107.43,110.36,112.57
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.21,0.21,0.29,0.29,0.29,0.36,0.36,0.64,0.71,0.71,0.79,0.93,0.93,1.43,1.5,1.5,1.71,1.71,1.79,2.0,2.5,2.29,2.29,2.57,2.5,2.36,2.5,2.0,2.07,2.14,1.93,1.93,2.21,2.29,1.79,2.21,2.21,2.29,2.43,2.36,2.21,2.21,2.0,1.93,2.0,2.0,1.64,1.71,1.93,1.43,1.36,1.0,0.86,0.93,0.93,1.0,1.07,1.07,0.93,0.93,0.93,0.5,0.36,0.36,0.36
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.64,2.36,2.36,2.57,2.93,3.36,3.5,3.5,3.71,3.93,4.29,6.07,6.07,6.71,6.21,11.57,11.57,11.36,12.07,11.93,11.79,12.79,14.57,15.93,16.07,15.71,17.79,20.14,20.14,16.0,18.79,19.36,19.0,20.36,21.5,24.21,22.36,26.07,27.64,27.36,26.14,27.07,29.93,28.86,30.64,32.79,40.29,45.5,60.43,68.64,78.71,75.5,76.29,77.5,84.36,82.21,83.0,86.0,95.0,113.79,110.57,107.93,97.29,91.64,89.29,95.71,102.14,107.93,107.29,116.14,124.79,136.21,141.57,137.57,156.14,163.86,179.5,194.29,206.79,225.57,243.79,247.36,255.21,260.79,272.29,282.43,283.93,283.57
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.36,0.57,0.71,1.0,1.21,1.43,1.79,1.71,2.14,2.57,2.57,2.93,3.21,3.21,3.07,2.93,2.93,2.86,2.79,2.93,3.21,4.36,6.43,8.93,12.79,20.43,26.86,31.0,40.93,53.86,68.64,84.07,108.29,126.93,148.14,169.14,201.79,229.86,253.86,275.43,304.64,322.57,342.5,365.0,389.29,419.43,435.36,457.14,474.71,499.93,513.93,539.07,567.64,588.5,603.21,626.57,660.07,698.43,728.43,765.64,799.71,844.79,871.79,915.21,980.5,1013.71,1072.79,1149.0,1219.36
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.36,0.36,0.43,1.0,1.21,1.29,1.29,1.29,1.71,1.86,2.36,2.36,2.29,2.29,2.93,3.29,3.29,3.0,3.07,3.21,3.21,3.43,3.07,3.0,2.71,2.79,2.71,2.79,2.07,1.71,1.64,1.36,1.07,0.86,0.86,0.71,0.71,0.79,0.57,0.57,0.57,0.5,0.43,0.43,0.43,0.5,0.5,0.5,0.5,0.43,0.43,0.36,0.36,0.29,0.36,0.36,0.29,0.29,0.36,0.43,0.43,0.57,0.57,0.57,0.5
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.43,0.43,0.43,0.43,0.43,0.43,0.64,0.64,0.86,1.86,1.86,1.86,2.5,2.5,3.21,3.21,4.5,5.0,5.0,5.36,5.14,5.5,5.29,4.79,4.79,4.79,8.29,8.29,8.0,18.07,20.14,26.0,34.71,44.21,55.71,70.0,100.0,134.79,152.29,177.43,197.64,223.5,254.64,278.57,316.29,309.93,301.21,397.43,418.71,443.93,466.86,485.14,526.0,563.21,597.86,637.64,675.21,701.64,724.14,789.21,851.86,801.79,830.5,855.29,867.57,880.57,890.14,893.57,901.21,904.64,903.14,910.36,915.21,918.07,924.64,934.5,939.86,940.79,943.07,943.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.5,0.86,1.57,3.5,7.71,12.0,14.21,17.0,19.0,22.36,22.36,39.86,49.14,63.14,75.0,87.86,104.5,124.64,153.43,189.0,228.64,250.29,285.86,330.21,422.93,480.36,603.21,710.71,774.36,823.71,891.29,968.07,1036.64,1115.43,1163.57,1219.36,1280.36,1319.0,1339.14,1384.5,1348.86,1343.64,1335.0,1310.29,1400.64,1390.07,1383.43,1339.43,1343.21,1369.21,1340.14,1320.43,1272.43,1259.0,1236.21,1177.64,1149.86,1158.21,1020.43,979.29,921.0,881.0,815.0,734.57,682.36,635.14,615.93,551.29,519.36,496.21,483.0,460.36,437.29,412.07,400.86,390.86,383.86,378.0,377.29,371.57,343.93,321.43
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.21,0.21,0.29,0.29,0.36,0.43,0.43,0.43,0.5,0.57,0.79,0.86,1.07,1.07,1.07,1.07,1.0,1.0,0.93,0.79,0.79,0.71,0.64,0.57,0.36,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.36,0.43,0.43,0.43,0.43,0.43,0.43,0.36,0.57,0.79,0.79,1.0,1.0,1.43,1.5,1.43,1.43,1.43,2.07,2.07,2.07,2.07,1.86,1.57,1.57,1.36,1.36,0.93,2.0,2.0,2.0,2.0,1.36,1.36,2.07,2.07,2.07,2.07,2.07,3.93,3.93,3.93,3.0,3.0,3.0,6.14,13.43,16.43,18.21,18.21,18.79,18.79,19.64,17.79,17.79,17.79,17.36,2.43,2.43,-0.36,-7.64
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.14,0.14,0.21,0.21,0.21,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.07,0.07,0.0,0.0,0.0,0.0,0.14,0.29,0.57,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.21,0.71,0.71,0.79,0.79,0.86,0.86,1.07,1.36,1.71,1.93,2.07,2.14,2.93,4.14,4.57,5.07,6.14,6.86,7.36,7.93,8.36,8.57,9.5,11.14,11.79,12.71,15.79,14.79,14.36,15.64,16.64,17.64,20.14,22.71,23.79,25.29,25.93,27.21,28.86,28.5,31.36,38.5,42.21,46.43,48.86,49.93,50.93,51.86,54.57,69.79,76.71,79.79,86.0,91.21,98.43,104.21,112.21,114.71,129.79,136.5,145.57,157.5,167.71,168.29,178.14,184.43,191.36,216.64,221.86,236.64
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.21,0.21,0.21,0.36,0.5,0.79,0.93,1.29,1.71,1.79,1.86,2.71,4.36,6.21,6.43,8.79,9.5,11.5,12.07,12.86,16.0,17.14,21.36,24.5,28.14,30.07,33.57,35.0,37.93,37.71,38.43,42.71,44.86,47.64,47.43,49.14,49.0,47.79,47.36,46.5,45.29,45.36,46.0,45.07,45.36,41.29,40.29,39.64,37.14,38.57,36.21,37.71,35.86,40.5,42.14,40.5,40.79,40.86,44.07,43.14,44.21,43.86,46.36,43.14,42.93,41.14,40.93,36.0,32.93,32.5,30.57,30.93,27.0,26.79,25.07,23.07,21.57
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.29,0.29,0.29,0.29,0.29,0.43,0.43,0.43,0.43,0.93,0.93,0.93,0.93,0.71,0.64,0.64,0.79,0.79,0.79,1.0,1.0,1.0,1.14,0.64,0.64,0.64,0.64,0.64,0.71,0.71,0.57,0.57,0.57,0.21,0.21,0.21,0.07,0.07,0.07,0.07,0.07,0.14,0.07,0.07,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.43,0.5
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.29,0.29,0.93,0.93,1.43,1.79,2.21,2.64,3.64,10.71,10.64,11.43,14.14,22.79,26.29,44.07,55.71,72.0,109.0,135.64,158.29,179.71,209.5,233.29,268.07,292.43,312.79,385.43,461.71,530.21,590.21,667.07,684.57,731.21,841.93,972.57,1079.07,1158.64,1201.64,1281.14,1346.5,1396.07,1534.57,1598.64,1759.0,1878.43,1966.0,2041.57,2074.64,2113.36,2281.71,2457.5,2756.93,2922.0,3144.0,3426.64,3668.93,4054.43,4180.0,4317.29,4512.29,4848.36,5169.71,5775.29,6124.07,6632.21,6909.79,7114.21,7296.29,7498.5,7889.43,8284.14,9149.21,9743.64,9946.71,10482.0,11173.57,11783.43,12451.0,13142.57
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.79,0.79,2.64,2.86,3.57,3.86,4.0,4.86,5.36,5.57,5.93,6.29,6.43,7.36,7.0,7.36,5.57,5.71,5.43,5.21,5.21,4.5,4.14,4.0,3.71,3.36,3.14,2.21,1.86,1.5,1.5,1.14,0.71,0.64,0.5,0.36,0.21,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.07,0.0,0.0,0.0,0.07,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.0,0.0
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.29,0.5,0.5,1.64,2.93,3.64,3.71,4.79,6.57,6.71,9.07,11.64,13.07,14.07,15.29,16.79,18.36,19.29,20.71,21.07,21.93,23.71,23.57,25.93,25.57,24.29,24.57,24.86,25.64,25.07,25.29,24.43,23.57,23.5,23.29,22.43,23.21,24.5,25.79,26.79,25.93,27.14,28.43,30.79,34.21,42.79,41.86,44.64,48.43,49.0,50.0,50.43,50.64,51.14,51.71,51.64,52.07,53.86,52.29,45.57,48.14,47.5,44.79,44.57,44.43,42.43,41.64,41.5,42.36,41.64,39.64,36.71,35.86,35.71
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.14,0.14,0.14,0.21,1.07,1.07,1.43,2.36,2.86,4.57,5.36,7.07,8.07,10.29,10.71,12.71,14.64,15.64,16.5,17.57,18.71,18.21,18.71,18.14,19.29,18.93,19.29,19.14,20.79,18.79,19.79,19.64,17.93,19.07,18.57,18.43,18.21,17.64,16.5,15.5,15.43,13.93,12.36,13.29,10.36,9.64,9.86,7.86,7.07,7.07,6.57,6.21,6.14,6.5,6.29,8.57,8.57,8.21,8.5,8.5,8.93,9.14,9.43,9.14,9.36,9.29,9.57,8.86,7.71,5.71,5.43,5.0
Burma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.71,1.0,1.07,1.07,1.43,1.43,1.5,1.5,1.57,1.57,1.57,1.64,1.36,2.14,2.21,3.43,3.43,4.21,4.64,4.86,5.5,6.43,6.93,7.07,7.21,8.29,8.36,7.71,7.5,6.0,6.21,5.43,4.71,4.5,3.79,3.14,3.0,2.86,2.71,2.64,2.36,2.29,2.43,2.43,2.14,2.21,2.14,2.21,2.21,2.07,2.14,2.29,2.71,1.64,1.57
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.36,0.36,0.36,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.57,0.57,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.71,0.71,0.71,0.71,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.57,1.93,1.93,1.93,1.93,1.93
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.21,0.21,0.21,0.21,0.29,0.29,0.36,0.36,0.43,0.43,0.43,0.43,0.43,0.36,0.29,0.29,0.29,0.29,0.21,0.21,0.14,0.21,0.14,0.29,0.36,3.57,3.57,3.57,3.64,3.86,4.29,4.36,4.71,5.36,5.79,5.86,7.0,7.07,7.36,4.14,4.64,4.71,6.71,7.43,7.71,8.43,8.43,9.71,10.14,10.43,10.0,10.79,10.93,12.5,13.86,14.57,12.57,11.64,10.93,10.64,11.29,9.86,9.43
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.14,0.14,0.29,0.43,0.43,0.43,2.29,2.43,2.57,3.57,3.71,5.86,6.07,6.36,6.64,6.64,6.71,6.57,6.86,7.14,5.43,5.29,5.21,4.5,4.36,2.14,1.93,1.71,1.5,1.64,1.43,1.5,1.36,1.07,0.93,0.93,0.86,0.57,0.57,0.57,0.57,0.5,0.36,0.21,0.21,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.71,0.71,0.93,1.36,1.86,2.71,3.86,4.57,5.21,5.21,6.36,6.36,9.79,9.64,13.07,15.93,20.93,34.93,37.71,43.57,43.0,42.29,46.79,46.79,52.07,52.07,48.64,48.64,46.79,43.93,49.29,34.79,33.0,26.21,36.07,36.07,30.93,43.14,43.57,49.86,57.21,63.21,61.21,70.29,59.71,59.71,75.71,75.71,67.21,67.21,78.71,66.64,59.79,54.0,68.43,70.29,70.29,69.14,80.14,90.93,73.43,73.43,101.79,101.79,104.86,144.36,152.36
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.5,0.5,0.43,0.43,0.36,0.36,0.36,0.21,0.21,0.21,0.29,0.29,0.21,0.21,0.14,0.14,0.14,0.21,0.29,0.29,0.43,0.5,0.93,1.21,1.36,1.57,1.79,2.07,2.86,3.21,3.93,4.79,4.86,6.93,7.43,12.79,12.71,16.29,27.71,32.0,44.57,54.5,63.86,87.36,100.36,143.64,193.64,224.5,280.36,320.64,384.14,430.57,498.79,574.93,635.93,748.86,821.0,835.79,1020.5,1033.93,1077.29,1135.0,1186.57,1241.21,1267.14,1287.07,1305.86,1322.0,1332.07,1394.64,1455.5,1527.0,1419.79,1506.79,1537.86,1608.71,1617.5,1632.86,1646.79,1695.29,1709.71,1722.5,1761.14,1689.14,1680.64,1683.57,1776.5,1735.64,1700.93,1645.07,1635.86,1625.36,1610.5,1575.57,1546.29,1519.21,1478.79,1451.71,1401.14,1377.14,1273.43,1246.71,1234.14,1205.79,1181.5,1162.36
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14,0.14,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.57,0.57,0.64,0.64,0.29,0.29,0.29,0.29,0.43,0.43,0.57,0.57,0.57,0.79,0.57,2.79,2.71,2.71,4.29,4.29,4.29,5.21,5.07,5.71,5.57,9.07,9.07,8.86,8.86,6.64,6.64,6.64,16.36,18.21,18.21,17.29,20.07,23.14,24.43,24.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.21,0.21,0.21,0.21,0.21,0.21,0.36,0.5,0.5,0.5,0.5,0.57,0.57,0.57,0.5,0.5,0.57,0.57,0.57,1.07,1.29,1.14,1.14,1.36,1.36,1.71,1.71,1.71,1.64,1.64,1.57,2.07,2.5,2.0,1.64,2.07,2.07,3.29,3.29,6.0,6.0,6.0,9.79,9.79,15.71,15.71,19.71,19.71,19.71,21.79,22.86,23.29,25.36,25.5,27.57,28.71,26.79,28.21,23.93,25.07
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.29,0.29,0.29,0.57,0.57,0.93,1.64,1.64,3.07,4.36,5.29,11.07,14.29,16.93,16.71,30.71,38.07,44.57,52.71,64.93,79.93,91.64,111.93,132.0,147.5,163.86,181.21,199.5,226.14,235.93,258.86,274.21,290.64,299.57,314.57,333.29,349.36,358.43,362.43,362.57,369.93,374.43,385.93,393.93,397.79,401.21,406.57,408.29,410.71,417.14,414.64,423.64,437.0,449.14,460.57,472.29,515.43,554.0,621.79,683.93,724.0,798.86,839.43,912.07,976.14,1025.79,1109.64,1160.71,1239.71,1392.57,1501.21,1609.57,1642.36,1722.71,1815.43,1968.79,2183.5,2357.14,2563.21
