Date,Country/Region,value
2020-07-02,Afghanistan,1.137
2020-07-03,Afghanistan,1.068
2020-07-04,Afghanistan,1.0632
2020-07-05,Afghanistan,1.1111
2020-07-06,Afghanistan,1.3438
2020-07-07,Afghanistan,1.3729
2020-07-08,Afghanistan,1.263
2020-07-09,Afghanistan,1.0886
2020-07-10,Afghanistan,1.1803
2020-07-11,Afghanistan,1.2397
2020-07-12,Afghanistan,1.1438
2020-07-13,Afghanistan,0.7917
2020-07-14,Afghanistan,0.8399
2020-07-15,Afghanistan,1.0663
2020-07-16,Afghanistan,1.0372
2020-07-17,Afghanistan,1.2413
2020-07-18,Afghanistan,1.1667
2020-07-19,Afghanistan,1.1544
2020-07-20,Afghanistan,1.2112
2020-07-21,Afghanistan,1.0035
2020-07-22,Afghanistan,0.649
2020-07-23,Afghanistan,0.6124
2020-07-24,Afghanistan,0.5032
2020-07-25,Afghanistan,0.5122
2020-07-26,Afghanistan,0.4557
2020-07-27,Afghanistan,0.53
2020-01-22,Albania,
2020-01-23,Albania,
2020-01-24,Albania,
2020-01-25,Albania,
2020-01-26,Albania,
2020-01-27,Albania,
2020-01-28,Albania,
2020-01-29,Albania,
2020-01-30,Albania,
2020-01-31,Albania,
2020-02-01,Albania,
2020-02-02,Albania,
2020-02-03,Albania,
2020-02-04,Albania,
2020-02-05,Albania,
2020-02-06,Albania,
2020-02-07,Albania,
2020-02-08,Albania,
2020-02-09,Albania,
2020-02-10,Albania,
2020-02-11,Albania,
2020-02-12,Albania,
2020-02-13,Albania,
2020-02-14,Albania,
2020-02-15,Albania,
2020-02-16,Albania,
2020-02-17,Albania,
2020-02-18,Albania,
2020-02-19,Albania,
2020-02-20,Albania,
2020-02-21,Albania,
2020-02-22,Albania,
2020-02-23,Albania,
2020-02-24,Albania,
2020-02-25,Albania,
2020-02-26,Albania,
2020-02-27,Albania,
2020-02-28,Albania,
2020-02-29,Albania,
2020-03-01,Albania,
2020-03-02,Albania,
2020-03-03,Albania,
2020-03-04,Albania,
2020-03-05,Albania,
2020-03-06,Albania,
2020-03-07,Albania,
2020-03-08,Albania,
2020-03-09,Albania,
2020-03-10,Albania,
2020-03-11,Albania,
2020-03-12,Albania,
2020-03-13,Albania,
2020-03-14,Albania,
2020-03-15,Albania,
2020-03-16,Albania,
2020-03-17,Albania,
2020-03-18,Albania,
2020-03-19,Albania,0.0
2020-03-20,Albania,0.0
2020-03-21,Albania,0.0
2020-03-22,Albania,0.0
2020-03-23,Albania,0.0
2020-03-24,Albania,14.2857
2020-03-25,Albania,0.0
2020-03-26,Albania,7.1429
2020-03-27,Albania,7.1429
2020-03-28,Albania,7.1429
2020-03-29,Albania,7.1429
2020-03-30,Albania,7.1429
2020-03-31,Albania,3.4483
2020-04-01,Albania,2.7778
2020-04-02,Albania,3.4483
2020-04-03,Albania,2.7778
2020-04-04,Albania,2.0
2020-04-05,Albania,1.5625
2020-04-06,Albania,1.5625
2020-04-07,Albania,1.4085
2020-04-08,Albania,1.0
2020-04-09,Albania,1.0753
2020-04-10,Albania,1.0
2020-04-11,Albania,0.0
2020-04-12,Albania,0.0
2020-04-13,Albania,0.0
2020-04-14,Albania,0.0
2020-04-15,Albania,0.0
2020-04-16,Albania,0.0
2020-04-17,Albania,0.0
2020-04-18,Albania,0.0
2020-04-19,Albania,0.0
2020-04-20,Albania,0.0
2020-04-21,Albania,0.0
2020-04-22,Albania,0.0
2020-04-23,Albania,0.0
2020-04-24,Albania,0.0
2020-04-25,Albania,0.0
2020-04-26,Albania,0.0
2020-04-27,Albania,0.0
2020-04-28,Albania,2.7778
2020-04-29,Albania,0.0
2020-04-30,Albania,2.7778
2020-05-01,Albania,3.4483
2020-05-02,Albania,3.4483
2020-05-03,Albania,0.0
2020-05-04,Albania,0.0
2020-05-05,Albania,0.0
2020-05-06,Albania,0.0
2020-05-07,Albania,0.0
2020-05-08,Albania,0.0
2020-05-09,Albania,0.0
